__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_0_repetition_0,DONE,Fibonacci,normal,0.000483;0.702378;4.207722,3.66;8.51;2.38,1.636861,4.85,4.914176,14.55,37.407493
run_1_repetition_0,DONE,Fibonacci,memoized,0.000690;0.000491;0.000377,4.02;10.20;3.99,0.000519,6.07,0.004638,18.20,0.000000
run_2_repetition_0,DONE,Knapsack,normal,0.000661;0.226983;0.591625,1.92;12.11;1.69,0.273090,5.24,0.822170,15.72,2.248012
run_3_repetition_0,DONE,Knapsack,memoized,0.000715;0.011258;0.019381,2.82;120.63;264.07,0.010451,129.17,0.034242,387.51,0.122753
run_4_repetition_0,DONE,Coin Change,normal,0.004148;0.102514;5.913327,6.12;5.35;4.64,2.006663,5.37,6.024054,16.11,59.734281
run_5_repetition_0,DONE,Coin Change,memoized,0.000674;0.000906;0.000570,6.55;5.68;5.31,0.000717,5.85,0.004816,17.54,0.000000
run_6_repetition_0,DONE,Levenshtein Distance,normal,0.009060;0.024943;8.299275,6.75;2.17;4.27,2.777759,4.40,8.336882,13.19,82.183685
run_7_repetition_0,DONE,Levenshtein Distance,memoized,0.001175;0.000551;0.001226,9.70;5.05;9.45,0.000984,8.07,0.006557,24.20,0.000000
run_8_repetition_0,DONE,Factorial,normal,0.002164;0.481155;1.590448,41.23;2120.77;3814.47,0.691256,1992.16,2.077647,5976.47,18.691598
run_9_repetition_0,DONE,Factorial,memoized,0.002741;0.598863;0.406828,52.83;16975.85;41979.58,0.336144,19669.42,1.011613,59008.26,8.567804
run_10_repetition_0,DONE,Matrix Chain Multiplication,normal,0.009979;0.307453;2.297859,4.56;3.07;2.20,0.871763,3.28,2.619179,9.83,22.767936
run_11_repetition_0,DONE,Matrix Chain Multiplication,memoized,0.001954;0.002267;0.001875,6.25;5.53;6.47,0.002032,6.08,0.009859,18.25,0.000000
run_12_repetition_0,DONE,Can I Win,normal,0.002648;0.686592;1.664420,3.27;2.38;1.46,0.784553,2.37,2.357086,7.12,19.114167
run_13_repetition_0,DONE,Can I Win,memoized,0.001888;0.036934;0.061574,6.41;142.86;289.07,0.033465,146.12,0.102628,438.35,0.303552
run_14_repetition_0,DONE,K-equal Sum Partitions,normal,0.001096;0.023751;0.117797,10.26;143.49;291.90,0.047548,148.55,0.146159,445.65,0.179285
run_15_repetition_0,DONE,K-equal Sum Partitions,memoized,0.001138;0.029594;0.170308,10.08;159.46;332.16,0.067014,167.23,0.204094,501.70,0.165060
run_16_repetition_0,DONE,All Possible Full Binary Trees,normal,0.003970;0.707292;2.917637,19.12;19781.07;65674.71,1.209633,28491.63,3.631605,85474.90,29.463821
run_17_repetition_0,DONE,All Possible Full Binary Trees,memoized,0.001621;0.082469;0.252549,6.61;3710.21;9214.40,0.112213,4310.41,0.339654,12931.22,1.038635
run_0_repetition_1,DONE,Fibonacci,normal,0.000749;0.647371;4.038924,3.66;8.51;2.38,1.562348,4.85,4.690927,14.55,48.229848
run_1_repetition_1,DONE,Fibonacci,memoized,0.000703;0.000629;0.000390,4.02;10.20;3.99,0.000574,6.07,0.005561,18.20,0.000000
run_2_repetition_1,DONE,Knapsack,normal,0.000556;0.215268;0.580918,1.92;12.11;1.69,0.265581,5.24,0.800335,15.72,1.837639
run_3_repetition_1,DONE,Knapsack,memoized,0.000719;0.009906;0.016905,2.82;120.63;264.07,0.009177,129.17,0.029711,387.51,0.122512
run_4_repetition_1,DONE,Coin Change,normal,0.003932;0.095232;5.897000,6.12;5.35;4.64,1.998722,5.37,5.999008,16.11,41.390846
run_5_repetition_1,DONE,Coin Change,memoized,0.000829;0.000875;0.001019,6.55;5.68;5.31,0.000908,5.85,0.006284,17.54,0.000000
run_6_repetition_1,DONE,Levenshtein Distance,normal,0.010460;0.027698;8.586342,6.75;2.17;4.27,2.874834,4.40,8.627627,13.19,76.417608
run_7_repetition_1,DONE,Levenshtein Distance,memoized,0.001310;0.000597;0.000894,9.70;5.05;9.45,0.000934,8.07,0.006389,24.20,0.000000
run_8_repetition_1,DONE,Factorial,normal,0.002362;0.467514;1.663961,41.23;2120.77;3814.47,0.711279,1992.16,2.137689,5976.47,15.536718
run_9_repetition_1,DONE,Factorial,memoized,0.002713;0.612806;0.363276,52.83;16975.85;41979.58,0.326265,19669.42,0.982381,59008.26,4.915716
run_10_repetition_1,DONE,Matrix Chain Multiplication,normal,0.009697;0.251127;2.314913,4.56;3.07;2.20,0.858579,3.28,2.578501,9.83,22.583379
run_11_repetition_1,DONE,Matrix Chain Multiplication,memoized,0.002036;0.002308;0.001852,6.25;5.53;6.47,0.002065,6.08,0.009477,18.25,0.000000
run_12_repetition_1,DONE,Can I Win,normal,0.002152;0.648127;1.499842,3.27;2.38;1.46,0.716707,2.37,2.153266,7.12,19.433801
run_13_repetition_1,DONE,Can I Win,memoized,0.001833;0.042384;0.066601,6.41;142.80;289.01,0.036939,146.07,0.114370,438.22,0.411238
run_14_repetition_1,DONE,K-equal Sum Partitions,normal,0.001077;0.022486;0.111831,10.26;143.49;291.90,0.045131,148.55,0.137412,445.65,0.256704
run_15_repetition_1,DONE,K-equal Sum Partitions,memoized,0.001315;0.023698;0.173584,10.08;159.39;332.10,0.066199,167.19,0.200621,501.57,0.202378
run_16_repetition_1,DONE,All Possible Full Binary Trees,normal,0.003731;0.695288;2.833884,18.56;19781.12;65674.71,1.177634,28491.47,3.536689,85474.40,25.809530
run_17_repetition_1,DONE,All Possible Full Binary Trees,memoized,0.001396;0.083958;0.275448,5.98;3710.21;9214.40,0.120268,4310.20,0.363326,12930.59,0.723259
run_0_repetition_2,DONE,Fibonacci,normal,0.000683;0.669944;4.255163,3.66;8.51;2.38,1.641930,4.85,4.929206,14.55,37.872323
run_1_repetition_2,DONE,Fibonacci,memoized,0.000682;0.000648;0.000363,4.02;10.20;3.99,0.000564,6.07,0.005361,18.20,0.000000
run_2_repetition_2,DONE,Knapsack,normal,0.000338;0.234525;0.533135,1.92;12.11;1.69,0.255999,5.24,0.769924,15.72,2.908855
run_3_repetition_2,DONE,Knapsack,memoized,0.000713;0.016173;0.018706,2.82;120.63;264.07,0.011864,129.17,0.039247,387.51,0.216487
run_4_repetition_2,DONE,Coin Change,normal,0.004459;0.115381;5.796152,6.12;5.35;4.64,1.971997,5.37,5.919919,16.11,45.608880
run_5_repetition_2,DONE,Coin Change,memoized,0.001101;0.000851;0.001026,6.55;5.68;5.31,0.000993,5.85,0.005643,17.54,0.000000
run_6_repetition_2,DONE,Levenshtein Distance,normal,0.009306;0.028756;8.466472,6.75;2.17;4.27,2.834844,4.40,8.507306,13.19,71.724167
run_7_repetition_2,DONE,Levenshtein Distance,memoized,0.000978;0.000613;0.001139,9.70;4.99;9.38,0.000910,8.03,0.006179,24.08,0.000000
run_8_repetition_2,DONE,Factorial,normal,0.002207;0.554383;1.670135,41.23;2120.77;3814.47,0.742242,1992.16,2.229527,5976.47,21.157911
run_9_repetition_2,DONE,Factorial,memoized,0.002938;0.625915;0.330722,52.83;16975.85;41979.58,0.319858,19669.42,0.962291,59008.26,7.010970
run_10_repetition_2,DONE,Matrix Chain Multiplication,normal,0.008477;0.313530;2.304194,4.56;3.07;2.20,0.875400,3.28,2.629312,9.83,16.087950
run_11_repetition_2,DONE,Matrix Chain Multiplication,memoized,0.002015;0.001191;0.001771,6.25;5.53;6.47,0.001659,6.08,0.008911,18.25,0.000000
run_12_repetition_2,DONE,Can I Win,normal,0.002982;0.687200;1.621724,3.27;2.38;1.46,0.770636,2.37,2.314891,7.12,23.158665
run_13_repetition_2,DONE,Can I Win,memoized,0.001790;0.037029;0.060156,6.41;142.80;289.01,0.032991,146.07,0.102457,438.22,0.281010
run_14_repetition_2,DONE,K-equal Sum Partitions,normal,0.001203;0.031490;0.107456,10.26;143.49;291.90,0.046716,148.55,0.143634,445.65,0.326839
run_15_repetition_2,DONE,K-equal Sum Partitions,memoized,0.001340;0.025190;0.171761,10.08;159.39;332.10,0.066097,167.19,0.201662,501.57,0.189675
run_16_repetition_2,DONE,All Possible Full Binary Trees,normal,0.003270;0.723239;2.500361,17.44;19781.12;65674.71,1.075623,28491.09,3.230227,85473.27,24.119145
run_17_repetition_2,DONE,All Possible Full Binary Trees,memoized,0.001393;0.081643;0.268103,5.23;3709.84;9214.40,0.117046,4309.82,0.354350,12929.47,0.867894
run_0_repetition_3,DONE,Fibonacci,normal,0.000730;0.621975;4.038229,3.66;8.51;2.38,1.553645,4.85,4.664845,14.55,36.716911
run_1_repetition_3,DONE,Fibonacci,memoized,0.000647;0.000617;0.000235,4.02;10.20;3.99,0.000500,6.07,0.003893,18.20,0.000000
run_2_repetition_3,DONE,Knapsack,normal,0.000610;0.256569;0.636138,1.92;12.11;1.69,0.297772,5.24,0.896303,15.72,2.432840
run_3_repetition_3,DONE,Knapsack,memoized,0.000642;0.015203;0.012811,2.82;120.63;264.07,0.009552,129.17,0.032088,387.51,0.063445
run_4_repetition_3,DONE,Coin Change,normal,0.004479;0.103125;5.900223,6.12;5.35;4.64,2.002609,5.37,6.010570,16.11,51.032694
run_5_repetition_3,DONE,Coin Change,memoized,0.000691;0.000709;0.000871,6.55;5.68;5.31,0.000757,5.85,0.005762,17.54,0.000000
run_6_repetition_3,DONE,Levenshtein Distance,normal,0.009621;0.028761;8.545885,6.75;2.17;4.27,2.861422,4.40,8.586997,13.19,65.372281
run_7_repetition_3,DONE,Levenshtein Distance,memoized,0.001366;0.000286;0.001251,9.70;4.99;9.38,0.000968,8.03,0.006399,24.08,0.000000
run_8_repetition_3,DONE,Factorial,normal,0.002232;0.525133;1.608423,41.23;2120.77;3814.47,0.711929,1992.16,2.138419,5976.47,20.243326
run_9_repetition_3,DONE,Factorial,memoized,0.001721;0.629727;0.331797,52.83;16975.85;41979.58,0.321082,19669.42,0.965755,59008.26,5.014954
run_10_repetition_3,DONE,Matrix Chain Multiplication,normal,0.012059;0.319137;2.345492,4.56;3.07;2.20,0.892229,3.28,2.679930,9.83,21.277961
run_11_repetition_3,DONE,Matrix Chain Multiplication,memoized,0.002087;0.000948;0.001799,6.25;5.53;6.47,0.001611,6.08,0.008545,18.25,0.000000
run_12_repetition_3,DONE,Can I Win,normal,0.003289;0.670627;1.506441,3.27;2.38;1.46,0.726786,2.37,2.182726,7.12,20.070448
run_13_repetition_3,DONE,Can I Win,memoized,0.001395;0.046789;0.062261,6.41;142.80;289.01,0.036815,146.07,0.114428,438.22,0.600558
run_14_repetition_3,DONE,K-equal Sum Partitions,normal,0.001298;0.020838;0.116109,10.26;143.49;291.90,0.046082,148.55,0.140433,445.65,0.283413
run_15_repetition_3,DONE,K-equal Sum Partitions,memoized,0.000762;0.028349;0.174576,10.08;159.39;332.10,0.067896,167.19,0.206878,501.57,0.186315
run_16_repetition_3,DONE,All Possible Full Binary Trees,normal,0.003488;0.698398;2.646715,17.25;19781.12;65674.71,1.116200,28491.03,3.351561,85473.08,29.822987
run_17_repetition_3,DONE,All Possible Full Binary Trees,memoized,0.001308;0.080022;0.272545,5.23;3709.71;9214.40,0.117958,4309.78,0.357482,12929.34,0.804521
run_0_repetition_4,DONE,Fibonacci,normal,0.000777;0.630240;4.037379,3.66;8.51;2.38,1.556132,4.85,4.671413,14.55,43.625949
run_1_repetition_4,DONE,Fibonacci,memoized,0.000567;0.000658;0.000306,4.02;10.20;3.99,0.000510,6.07,0.004637,18.20,0.000000
run_2_repetition_4,DONE,Knapsack,normal,0.000361;0.220490;0.592219,1.92;12.11;1.69,0.271023,5.24,0.815865,15.72,1.687128
run_3_repetition_4,DONE,Knapsack,memoized,0.000666;0.014729;0.017327,2.82;120.63;264.07,0.010907,129.17,0.036389,387.51,0.114335
run_4_repetition_4,DONE,Coin Change,normal,0.003689;0.172471;5.718709,6.12;5.35;4.64,1.964957,5.37,5.897800,16.11,44.308436
run_5_repetition_4,DONE,Coin Change,memoized,0.002477;0.001333;0.001245,6.55;5.68;5.31,0.001685,5.85,0.010162,17.54,0.000000
run_6_repetition_4,DONE,Levenshtein Distance,normal,0.006588;0.028126;8.517532,6.75;2.17;4.27,2.850749,4.40,8.554376,13.19,78.879397
run_7_repetition_4,DONE,Levenshtein Distance,memoized,0.001458;0.000639;0.001280,9.70;4.99;9.38,0.001126,8.03,0.007155,24.08,0.000000
run_8_repetition_4,DONE,Factorial,normal,0.002672;0.477514;1.862064,41.23;2120.77;3814.47,0.780750,1992.16,2.345753,5976.47,17.104311
run_9_repetition_4,DONE,Factorial,memoized,0.002878;0.536915;0.397657,52.83;16975.85;41979.58,0.312483,19669.42,0.941026,59008.26,3.633305
run_10_repetition_4,DONE,Matrix Chain Multiplication,normal,0.012409;0.335100;2.362578,4.56;3.07;2.20,0.903362,3.28,2.713997,9.83,19.010404
run_11_repetition_4,DONE,Matrix Chain Multiplication,memoized,0.001541;0.002282;0.001846,6.25;5.53;6.47,0.001890,6.08,0.008565,18.25,0.000000
run_12_repetition_4,DONE,Can I Win,normal,0.003230;0.705092;1.510717,3.27;2.38;1.46,0.739680,2.37,2.222744,7.12,17.183488
run_13_repetition_4,DONE,Can I Win,memoized,0.001639;0.039790;0.060319,6.41;142.80;289.01,0.033916,146.07,0.105009,438.22,0.398209
run_14_repetition_4,DONE,K-equal Sum Partitions,normal,0.001272;0.028402;0.115463,10.26;143.49;291.90,0.048379,148.55,0.147872,445.65,0.303912
run_15_repetition_4,DONE,K-equal Sum Partitions,memoized,0.001320;0.023866;0.178675,10.08;159.39;332.10,0.067954,167.19,0.207172,501.57,0.254172
run_16_repetition_4,DONE,All Possible Full Binary Trees,normal,0.003157;0.700710;2.328158,17.25;19781.12;65674.71,1.010675,28491.03,3.035755,85473.08,25.764924
run_17_repetition_4,DONE,All Possible Full Binary Trees,memoized,0.001527;0.078280;0.292273,5.23;3709.71;9214.40,0.124027,4309.78,0.375500,12929.34,0.724051
run_0_repetition_5,DONE,Fibonacci,normal,0.000733;0.649883;3.987408,3.66;8.51;2.38,1.546008,4.85,4.641374,14.55,41.277237
run_1_repetition_5,DONE,Fibonacci,memoized,0.000722;0.000399;0.000401,4.02;10.20;3.99,0.000507,6.07,0.004314,18.20,0.000000
run_2_repetition_5,DONE,Knapsack,normal,0.000606;0.245997;0.560808,1.92;12.11;1.69,0.269137,5.24,0.811098,15.72,2.306081
run_3_repetition_5,DONE,Knapsack,memoized,0.000599;0.014981;0.013272,2.82;120.63;264.07,0.009618,129.17,0.031893,387.51,0.107879
run_4_repetition_5,DONE,Coin Change,normal,0.001918;0.110862;5.844637,6.12;5.35;4.64,1.985806,5.37,5.961260,16.11,57.183523
run_5_repetition_5,DONE,Coin Change,memoized,0.000893;0.000819;0.000875,6.55;5.68;5.31,0.000862,5.85,0.005896,17.54,0.000000
run_6_repetition_5,DONE,Levenshtein Distance,normal,0.010378;0.030883;8.363539,6.75;2.17;4.27,2.801600,4.40,8.408379,13.19,83.613476
run_7_repetition_5,DONE,Levenshtein Distance,memoized,0.001289;0.000322;0.001237,9.70;4.99;9.38,0.000949,8.03,0.005646,24.08,0.000000
run_8_repetition_5,DONE,Factorial,normal,0.001602;0.471359;1.721504,41.23;2120.77;3814.47,0.731489,1992.16,2.197326,5976.47,17.979079
run_9_repetition_5,DONE,Factorial,memoized,0.002899;0.590829;0.371725,52.83;16975.85;41979.58,0.321818,19669.42,0.969087,59008.26,6.509154
