__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_0_repetition_0,DONE,Fibonacci,normal,0.000732;0.636375;4.036493,3.66;8.51;2.38,1.557867,4.85,4.676805,14.55,34.194408
run_1_repetition_0,DONE,Fibonacci,memoized,0.000561;0.000412;0.000270,4.02;10.20;3.99,0.000414,6.07,0.004876,18.20,0.000000
run_2_repetition_0,DONE,Knapsack,normal,0.000634;1.543291;9.445427,1.92;13.62;1.77,3.663117,5.77,10.992756,17.32,88.375197
run_3_repetition_0,DONE,Knapsack,memoized,0.000637;0.022844;0.021631,2.82;293.32;272.48,0.015037,189.54,0.048616,568.62,0.176409
run_4_repetition_0,DONE,Coin Change,normal,0.004545;0.100016;6.180598,6.12;5.35;4.64,2.095053,5.37,6.289299,16.11,54.813440
run_5_repetition_0,DONE,Coin Change,memoized,0.001253;0.000947;0.000515,6.55;5.68;5.31,0.000905,5.85,0.006044,17.54,0.000000
run_6_repetition_0,DONE,Levenshtein Distance,normal,0.010564;1.444390;7.916754,6.75;4.09;2.46,3.123903,4.43,9.375602,13.30,89.116843
run_7_repetition_0,DONE,Levenshtein Distance,memoized,0.001415;0.000851;0.001003,9.70;10.88;7.06,0.001090,9.21,0.006819,27.64,0.000000
run_8_repetition_0,DONE,Factorial,normal,0.002240;0.484189;1.723433,41.23;2120.77;3814.47,0.736621,1992.16,2.214334,5976.47,21.682463
run_9_repetition_0,DONE,Factorial,memoized,0.001338;0.553491;0.331025,52.83;16975.85;41979.58,0.295285,19669.42,0.888588,59008.26,4.091775
run_10_repetition_0,DONE,Matrix Chain Multiplication,normal,0.008450;0.348431;2.310909,4.64;3.10;2.31,0.889263,3.35,2.669964,10.04,21.111485
run_11_repetition_0,DONE,Matrix Chain Multiplication,memoized,0.002122;0.002033;0.001868,6.19;5.53;6.50,0.002008,6.07,0.009598,18.22,0.000000
run_12_repetition_0,DONE,Can I Win,normal,0.003313;0.697416;1.599019,3.27;2.38;1.46,0.766582,2.37,2.303434,7.12,23.275628
run_13_repetition_0,DONE,Can I Win,memoized,0.000816;0.040759;0.075174,6.41;142.86;289.07,0.038916,146.12,0.120312,438.35,0.423454
run_14_repetition_0,DONE,K-equal Sum Partitions,normal,0.001537;0.020049;0.112503,10.26;143.49;291.90,0.044696,148.55,0.136636,445.65,0.188637
run_15_repetition_0,DONE,K-equal Sum Partitions,memoized,0.001422;0.024290;0.131418,10.08;159.46;332.16,0.052377,167.23,0.160387,501.70,0.275424
run_16_repetition_0,DONE,All Possible Full Binary Trees,normal,0.002189;0.693018;2.631321,19.12;19781.07;65674.71,1.108843,28491.63,3.329138,85474.90,27.429639
run_17_repetition_0,DONE,All Possible Full Binary Trees,memoized,0.001414;0.081086;0.260986,6.61;3710.21;9214.40,0.114496,4310.41,0.347058,12931.22,0.588028
run_0_repetition_1,DONE,Fibonacci,normal,0.000749;0.668397;4.049321,3.66;8.51;2.38,1.572822,4.85,4.721568,14.55,35.109922
run_1_repetition_1,DONE,Fibonacci,memoized,0.000717;0.000643;0.000378,4.02;10.20;3.99,0.000579,6.07,0.005626,18.20,0.000000
run_2_repetition_1,DONE,Knapsack,normal,0.000395;1.675056;9.398388,1.92;13.62;1.77,3.691279,5.77,11.077459,17.32,112.261260
run_3_repetition_1,DONE,Knapsack,memoized,0.000714;0.020949;0.016876,2.82;293.32;272.48,0.012847,189.54,0.041868,568.62,0.173157
run_4_repetition_1,DONE,Coin Change,normal,0.004483;0.099459;5.819080,6.12;5.35;4.64,1.974341,5.37,5.926722,16.11,50.788011
run_5_repetition_1,DONE,Coin Change,memoized,0.000933;0.000832;0.000855,6.55;5.68;5.31,0.000873,5.85,0.005511,17.54,0.000000
run_6_repetition_1,DONE,Levenshtein Distance,normal,0.008686;1.400865;7.982255,6.75;4.09;2.46,3.130602,4.43,9.395769,13.30,86.658206
run_7_repetition_1,DONE,Levenshtein Distance,memoized,0.001309;0.001271;0.000891,9.70;10.88;7.06,0.001157,9.21,0.006737,27.64,0.000000
run_8_repetition_1,DONE,Factorial,normal,0.001351;0.461606;1.690560,41.23;2120.77;3814.47,0.717839,1992.16,2.157122,5976.47,18.844919
run_9_repetition_1,DONE,Factorial,memoized,0.001642;0.540729;0.356102,52.83;16975.85;41979.58,0.299491,19669.42,0.900903,59008.26,4.377998
run_10_repetition_1,DONE,Matrix Chain Multiplication,normal,0.009018;0.338263;2.297683,4.64;3.10;2.31,0.881655,3.35,2.648588,10.04,20.782774
run_11_repetition_1,DONE,Matrix Chain Multiplication,memoized,0.001036;0.002174;0.001680,6.19;5.53;6.50,0.001630,6.07,0.007358,18.22,0.000000
run_12_repetition_1,DONE,Can I Win,normal,0.002362;0.676964;1.663291,3.27;2.38;1.46,0.780873,2.37,2.346967,7.12,22.540606
run_13_repetition_1,DONE,Can I Win,memoized,0.001643;0.038996;0.059951,6.41;142.80;289.01,0.033530,146.07,0.103265,438.22,0.250409
run_14_repetition_1,DONE,K-equal Sum Partitions,normal,0.001367;0.032580;0.115611,10.26;143.49;291.90,0.049853,148.55,0.152721,445.65,0.269965
